gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
KEAP1	C4	0.6107543508722	1	up_in_subtype	6	BLCA,HNSC,LIHC,LUAD,LUSC,UCEC	2519	160	0.0635	12	148	228	2291	0.337773446337839	c170
HRAS	C4	0.61463677676033	1	up_in_subtype	5	BLCA,HNSC,LUSC,PCPG,THCA	1983	89	0.0449	14	75	128	1855	0.942777436703911	c186
HLA-B	C4	0.620711539096724	1	up_in_rest	7	CESC,COADREAD,ESCA,HNSC,LUSC,STAD,UCEC	2612	53	0.0203	0	53	54	2558	-0.744401122880104	c164
RASA1	C4	0.630590280707765	1	up_in_subtype	8	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	3859	83	0.0215	6	77	320	3539	0.391878363136183	c101
PAX5	C4	0.640010092982172	1	up_in_rest	4	COADREAD,HNSC,LUAD,LUSC	1810	26	0.0144	0	26	39	1771	-0.82432296692069	c193
KMT2B	C4	0.651043791202693	1	up_in_rest	13	ACC,BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	5034	183	0.0364	15	168	548	4486	-0.379869897959851	c051
WHSC1	C4	0.652488114248304	1	up_in_rest	7	BLCA,BRCA,HNSC,LIHC,LUAD,STAD,UCEC	3412	53	0.0155	4	49	313	3099	-0.127521467474485	c126
RNF111	C4	0.673336728818591	1	up_in_subtype	5	BLCA,HNSC,LUSC,OV,UCEC	1930	41	0.0212	3	38	97	1833	1.01670489957096	c185
RHOA	C4	0.675245781001384	1	up_in_rest	6	BLCA,BRCA,HNSC,LUAD,STAD,UCEC	3068	65	0.0212	2	63	162	2906	-0.317716690879409	c142
ESR1	C4	0.676253003295333	1	up_in_rest	7	BLCA,BRCA,COADREAD,LUAD,LUSC,STAD,UCEC	3485	49	0.0141	2	47	178	3307	-0.428088269194081	c119
BRCA2	C4	0.681649753686357	1	up_in_rest	15	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	6054	225	0.0372	13	212	608	5446	-0.198012336117334	c016
POLE	C4	0.696840289886916	1	up_in_rest	10	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LUAD,LUSC,STAD,UCEC	4597	127	0.0276	2	125	206	4391	-1.0063996252546	c066
PBRM1	C4	0.698641717864629	1	up_in_rest	13	BLCA,BRCA,CESC,CHOL,COADREAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	5242	170	0.0324	12	158	427	4815	-0.215439647764208	c044
