gene	n_tumor_types	tumors	n_samples	n_mutated	mut_freq
PPP2R1A	5	CESC,LUAD,LUSC,UCEC,UCS	1595	96	0.0602
ARID1A	15	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,PAAD,STAD,UCEC	6030	361	0.0599
FBXW7	12	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,OV,STAD,UCEC,UCS	4611	267	0.0579
MACF1	21	BLCA,BRCA,CESC,CHOL,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SARC,STAD,THCA,UCEC	7420	424	0.0571
STK11	3	CESC,HNSC,LUAD	1173	63	0.0537
PTPRD	14	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LUAD,LUSC,OV,PRAD,STAD,UCEC	5353	276	0.0516
FGFR3	5	BLCA,HNSC,KIRP,LUSC,STAD	1932	91	0.0471
ATM	17	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SARC,STAD,UCEC	6294	290	0.0461
HRAS	5	BLCA,HNSC,LUSC,PCPG,THCA	1983	89	0.0449
RB1	11	BLCA,BRCA,CESC,GBM,HNSC,LIHC,LUAD,LUSC,OV,SARC,UCEC	4259	189	0.0444
NOTCH1	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRP,LGG,LIHC,LUAD,LUSC,SARC,STAD,UCEC	5730	253	0.0442
NF1	16	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PCPG,STAD,UCEC	6165	267	0.0433
SPOP	5	BLCA,BRCA,PRAD,UCEC,UCS	2251	95	0.0422
PLXNB2	8	BLCA,CESC,COADREAD,HNSC,KIRP,LUAD,LUSC,UCEC	3169	133	0.042
EP300	15	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5948	248	0.0417
CREBBP	14	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5296	218	0.0412
ERBB4	13	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,LIHC,LUAD,LUSC,PRAD,STAD,UCEC	5512	219	0.0397
KMT2A	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,THCA,UCEC	5674	224	0.0395
CIC	10	BLCA,CESC,COADREAD,HNSC,LGG,LIHC,LUAD,LUSC,STAD,UCEC	4096	159	0.0388
SMAD4	11	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,PAAD,PRAD,STAD	4524	175	0.0387
HGF	8	BLCA,COADREAD,HNSC,LIHC,LUAD,LUSC,OV,STAD	3054	118	0.0386
CHD4	14	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC,UCS	5540	214	0.0386
NSD1	13	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,LIHC,LUAD,LUSC,OV,STAD,UCEC	5281	203	0.0384
TLR4	9	BLCA,BRCA,ESCA,HNSC,LUAD,LUSC,OV,STAD,UCEC	3855	147	0.0381
EGFR	12	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LGG,LUAD,LUSC,OV,STAD,UCEC	5023	189	0.0376
ERBB2	10	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,STAD,UCEC	4413	166	0.0376
CDH1	7	BLCA,BRCA,LIHC,LUAD,LUSC,STAD,UCEC	3370	126	0.0374
BRCA2	15	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	6054	225	0.0372
SMARCA4	15	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,STAD,UCEC	5987	222	0.0371
PIK3CG	10	BLCA,COADREAD,GBM,HNSC,LUAD,LUSC,OV,PRAD,STAD,UCEC	3650	135	0.037
MGA	13	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5193	190	0.0366
CTCF	5	BLCA,BRCA,COADREAD,HNSC,UCEC	2770	101	0.0365
KMT2B	13	ACC,BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	5034	183	0.0364
MYH9	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,OV,STAD,UCEC	4413	160	0.0363
POLQ	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5547	200	0.0361
NRAS	8	BLCA,COADREAD,LIHC,LUSC,OV,TGCT,THCA,UCEC	2852	103	0.0361
NCOR1	13	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,KIRP,LUAD,LUSC,OV,STAD,UCEC	5136	185	0.036
ERBB3	13	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC,UCS	4888	175	0.0358
ZFHX3	15	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,LIHC,LUAD,LUSC,OV,PRAD,STAD,THCA,UCEC	6096	210	0.0344
CACNA1A	13	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5424	180	0.0332
CASP8	8	BLCA,BRCA,CESC,HNSC,LUAD,LUSC,STAD,UCEC	3784	124	0.0328
EPHA3	15	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,LGG,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5938	195	0.0328
CCND1	2	BLCA,UCEC	824	27	0.0328
SPTAN1	12	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4860	159	0.0327
NIPBL	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LGG,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5835	191	0.0327
PBRM1	13	BLCA,BRCA,CESC,CHOL,COADREAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	5242	170	0.0324
MTOR	14	BLCA,BRCA,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	5622	180	0.032
ERCC2	3	BLCA,HNSC,LUSC	1324	42	0.0317
ARID2	13	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	5530	175	0.0316
ARHGAP35	12	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LIHC,LUAD,LUSC,OV,STAD,UCEC	5111	159	0.0311
COL5A1	16	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LIHC,LUAD,LUSC,OV,PAAD,PRAD,STAD,UCEC	5843	181	0.031
BAP1	11	BLCA,BRCA,CESC,CHOL,KIRC,KIRP,LIHC,LUAD,MESO,STAD,UCEC	3925	121	0.0308
ATR	12	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4860	149	0.0307
SETD2	17	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PRAD,STAD,UCEC	6466	191	0.0295
GABRA6	8	BLCA,ESCA,GBM,LIHC,LUAD,LUSC,STAD,UCEC	2645	78	0.0295
MAP3K1	7	BLCA,BRCA,COADREAD,GBM,LUAD,LUSC,UCEC	3246	95	0.0293
POLE	10	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LUAD,LUSC,STAD,UCEC	4597	127	0.0276
FGFR2	7	BLCA,BRCA,COADREAD,LUAD,LUSC,STAD,UCEC	3485	96	0.0275
SETBP1	12	BLCA,BRCA,COADREAD,ESCA,GBM,HNSC,KIRC,LUAD,LUSC,OV,STAD,UCEC	4771	130	0.0272
MUC6	11	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	4853	131	0.027
NOTCH2	12	BLCA,BRCA,CESC,ESCA,GBM,HNSC,KIRC,LIHC,LUAD,LUSC,STAD,UCEC	4755	128	0.0269
ZNF750	4	BLCA,ESCA,HNSC,LUSC	1494	40	0.0268
TCF7L2	4	COADREAD,LUAD,STAD,UCEC	1652	44	0.0266
RXRA	3	BLCA,LIHC,UCEC	1168	31	0.0265
ALK	12	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4927	130	0.0264
CHD8	13	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LUAD,LUSC,OV,STAD,UCEC	4952	130	0.0263
ASXL1	10	BLCA,BRCA,COADREAD,ESCA,HNSC,KIRC,LUAD,LUSC,STAD,UCEC	4498	118	0.0262
